,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,86,100,11.5,overcast clouds
259,Novo Aripuana,BR,-5.1206,-60.3797,75.58,91,98,1.57,overcast clouds
260,Port Moresby,PG,-9.4431,147.1797,89.02,62,40,11.5,haze
261,Chapais,CA,49.7834,-74.8492,31.78,82,68,11.32,broken clouds
262,Mugumu,TZ,-1.85,34.7,62.76,66,90,5.48,overcast clouds
263,Honningsvag,NO,70.9821,25.9704,33.55,75,20,4.61,few clouds
264,Kathmandu,NP,27.7167,85.3167,64.62,72,20,2.3,few clouds
265,Cortez,US,37.3489,-108.5859,48.04,56,0,8.05,clear sky
266,Man,CI,7.4125,-7.5538,67.77,94,78,2.37,broken clouds
267,Lucea,JM,18.451,-78.1736,78.66,76,90,0.16,overcast clouds
268,Herborn,DE,50.6833,8.3167,56.61,95,75,14.97,broken clouds
269,Onda,ES,39.9667,-0.25,68.9,88,96,3.96,overcast clouds
270,Taoudenni,ML,22.6783,-3.9836,78.44,19,20,13.73,few clouds
271,Kiruna,SE,67.8557,20.2251,31.12,86,100,5.75,overcast clouds
272,Upernavik,GL,72.7868,-56.1549,15.55,73,80,7.36,broken clouds
273,Pareora,NZ,-44.4871,171.2132,54.18,42,57,8.43,broken clouds
274,Calvinia,ZA,-31.4707,19.776,63.57,49,59,4.76,broken clouds
275,Terrace Bay,CA,48.7834,-87.1,40.41,86,99,12.21,overcast clouds
276,Waipawa,NZ,-41.4122,175.5153,46.81,61,99,12.97,overcast clouds
277,Sitka,US,57.0531,-135.33,48.09,81,100,11.5,light rain
278,Kota Belud,MY,6.351,116.4305,83.3,81,89,3.38,heavy intensity rain
279,Chokurdakh,RU,70.6333,147.9167,16.34,94,100,18.19,light snow
280,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,3.44,overcast clouds
281,Nabire,ID,-3.3667,135.4833,87.03,64,95,5.99,overcast clouds
282,Calape,PH,9.8922,123.8748,87.78,76,84,6.38,broken clouds
283,Klyuchi,RU,52.2667,79.1667,52.29,51,100,13.73,overcast clouds
284,Rognan,NO,67.0953,15.3878,42.94,86,100,4.56,overcast clouds
285,Dali,CN,25.7,100.1833,69.64,57,2,0.85,clear sky
286,Faanui,PF,-16.4833,-151.75,78.98,76,91,13.56,light rain
287,Kloulklubed,PW,7.0419,134.2556,81.54,75,100,5.55,overcast clouds
288,Ulagan,RU,50.6321,87.9563,36.55,76,100,3.78,overcast clouds
289,Gasa,PS,31.5,34.4667,68.88,73,72,8.14,broken clouds
290,Poya,NC,-21.35,165.15,77.27,62,100,5.68,overcast clouds
291,Tabou,CI,4.423,-7.3528,74.88,90,58,3.65,broken clouds
292,Bonavista,CA,48.6499,-53.1147,57.6,95,100,14.0,overcast clouds
293,Melfort,CA,52.8667,-104.6177,42.93,70,40,12.66,scattered clouds
294,San Rafael,AR,-34.6177,-68.3301,63.23,42,36,1.77,scattered clouds
295,Tungor,RU,53.3808,142.9564,37.15,64,90,17.27,light rain
296,Kavieng,PG,-2.5744,150.7967,83.57,70,90,4.34,overcast clouds
297,Sumbe,AO,-11.2061,13.8437,74.14,87,100,3.4,overcast clouds
298,Luderitz,NA,-26.6481,15.1594,59.47,81,98,19.3,overcast clouds
299,Suba,PH,10.8438,121.0102,83.79,71,93,4.97,overcast clouds
300,Igunga,TZ,-4.2833,33.8833,69.84,53,99,5.01,overcast clouds
301,Joinville,BR,-26.3044,-48.8456,70.11,99,100,4.18,moderate rain
302,Hofn,IS,64.2539,-15.2082,42.31,73,100,13.91,overcast clouds
303,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.47,85,58,25.72,broken clouds
